LT354,Cherub with Rose Lamp,364
LT356,Hampton Urn Lamp,232
LT357,Mexican Urn Lamp,320
LT359,Cherub with Shell Lamp,364
LT360,22” Candlestick Lamp,330
LT362,Small Garland Finial Lamp,330
LT363,French Baluster Lamp,330
LT365,Al Fresco Taper,42
LT366,Al Fresco Pillar,74
LT367,Al Fresco Hurricane,34
LT372,Poinciana Pedestal Lamp,330
LT374,Limestone Baluster Lamp,298
LT376,Petite Baluster Lamp,210
LT378,Faux Bois Lamp,352
LT379,Parisian Pedestal Lamp,364
LT381,Poinciana Candlestick,88
LT384,Tulip Vase Lamp,330
LT390,Floral Medallion Lamp,330
LT394,Neo Gothic Lamp,210
WD035,American Eagle Plaque,56
WD151,Decatur Rosette,66
WD262, Modern Star Mirror,218
WD290,Angel,62
WD380,Greek Relief,330
WD382,Caesar,128
WD383,Cartouche,154
WD385,Caryatid,150
WD386,Flower Relief,274
WD387,Bacchus,78
WD388, French Corbel,150
AC240,Large Stone Book,70
AC250,Foot of Hermes,78
AC330,Sm. Faux Bois Torso,44
AC331,Med. Faux Bois Torso,66
AC332, Lge. Faux Bois Torso,88
AC415,Winged Victory,86
BU255,Bust of Herakles,276
BU470,Horse Bust,166
FT100,Square Pumpwell,66
FT140,Spanish Bubbler,598
FT195,Redmont Tabletop Bubbler,298
FT225,Redmont Bubbler,650
FT256,Redmont Urn Ftn Set,1750
FT420,St Remy Fountain Set,1816
FT460,Wellington Fountain Set,1090
FT495,BirminghamTabletop Bubbler,258
FT621,Large Oil Jar Fountain Set,938
FT626,Aubergine Oil Jar Fountain Set,858
FT658,Provence Urn Fountain Set,878
FT674,Lge Garland Jardiniere Ftn Set,898
AC032,Tiny Turtle,8
AC034,Old Frog,34
AC248,Standing Owl,60
AC251, Hedgehog with Glass Eye,32
AC293,Rabbit with Glass Eyes,50
AC294,Bunny with Glass Eyes,30
AC295,Jack Rabbit,26
AC300,Parrot,50
AC306,Turtle,50
AC309,Lazy Bunny,38
AC310,Some Pig,30
AC312,Grasshopper,32
ST001,Opal/piped,354
ST002,Mother and Child,98
ST030,Girl with Shell/piped,418
ST037,Boy with Cup /piped,292
ST039,Lamb somerset,72
ST068,15th C. Gargoyles pair,682
ST102,Coy Boy,70
ST300,Vineyard Cherubs,830
ST319,Kneeling Angel,250
ST350,Boy with Trident,1250
ST430,Sme Tas Tou Sou Sig,122
ST435,Amorini pair,578
ST436,St. Francis of Assisi,74
ST445,French Girl /piped,270
ST446,Saint Fiacre,186
ST447,Italian Lady,166
ST500,Pan Statue,186
ST510, Heraldic Lion,270
ST590,English Foal,270
ST600,Lamb standing,228
CR031,Scottish Standing Cross,144
CR057,Crusader Cross,28
CR066,Scottish Cross,24
CR069,Leeds Cross Section,250
CR082,4’ Drumcliff High Cross,292
CR083,5’ Drumcliff High Cross,396
CR425,Small Irish Stone,116
CR428,Spanish Cross,396
CR429,Square Irish Cross,42
BB022, Italian Butterfly Bath,116
BB025,Madison Bird Bath,292
BB045, Palm Court Bird Bath,208
BB050, French Font Bird Bath,270
BB064, Shell Bath,124
BB069, Griffin Bird Bath,334
BB270, Mediterranean Bird Bath,274
BB272, Yorkshire Bird Bath,200
BB273, Yorkshire Bowl,52
BB288,Frog Waterer,38
AC201,Large Garden Mushroom,116
AC202,Med Garden Mushroom,94
AC203, Small Garden Mushroom,74
AC303,Mini Mushroom (12 min),6
AC307,Mushroom Waterer (4 min),22
FN079,42” Faux Bois Demi Lune,540
FN081,48” Faux Bois Demi Lune,650
FN082,48” Round Faux Bois,870
FN083,42” Round Faux Bois,770
FN085,72” Faux Bois Banquet,1530
PL153,Tree Bark Pot,82
PL173,Faux Bois Planter - Large,312
PL174,Faux Bois Planter - Small,40
