P-512 ,Berkeley Large Planter,517
P-513,Berkeley Medium Planter,227
P-520,Berkeley Small Planter,107
P-557 ,Arabesque Rolled Rim Planter,410
P-573,Fleur de Lis Large Urn,322
P-574,Fleur de Lis Small Urn,172
P-575,Relais Large Urn,322
P-576,Relais Small Urn,172
P-324,Hampton Large Urn,372
P-325,Greenwich Urn,322
P-553,Rustic Greenwich Urn,322
P-554,Rustic Hampton Urn,372
PD-193,Greenwich Rustic Pedestal,322
PPD-325,Greenwich Urn with Pedestal                                        P-325 and PD-192,645
PPD-554,Rustic Hampton Urn with Pedestal                                       P-554 and PD-193,695
P-631,St. Louis Planter,747
PD-197,St. Louis Pedestal,797
PPD-631,St. Louis Planter with Pedestal                                 P-631 and PD-197,1545
P-711 ,Monteros Urn,1072
P-712 ,Fonthill Urn,1072
PPD-711,Monteros Urn w/ St. Louis Pedestal                                P-711 and PD-197,1870
PPD-712,Fonthill Urn w/ St. Louis Pedestal                                   P-712 and PD-197,1870
P-713 ,Beauport Urn,1072
PPD-713,Beauport Urn w/ St. Louis Pedestal                                       P-713 and PD-197,1870
P-608,Fairfield Urn,322
P-609,Palais Arabesque Urn,322
PPD-608,Fairfield Urn with Pedestal                      P-608 and PD-193,645
PPD-609,Palais Arabesque Urn with Pedestal                                             P-609 and PD-192,645
P-195,Tivoli Urn,292
P-630,"Medici Planter, Large",517
PD-195,Medici Pedestal (2 pcs),247
PD-22,Large Square Frame Pedestal,247
PPD-195,Tivoli Urn w/ Pedestal                                   P-195 and PD-22,540
PPD-630,Medici Planter with Pedestal                                 P-630 and PD-195,765
P-551,Easton Urn,322
P-552,Millbridge Urn,372
P-569,Litchfield Egg & Dart Urn,172
P-698,Quadrille Urn,422
P-706,Las Palmas Urn,422
P-187,"Leaf Urn, Large",322
P-208,"Lion w/Garland Urn, Small ",227
P-680,Beacon Hill Urn,227
PD-211,Beacon Hill Pedestal,107
PD-65,Square Shell Pedestal,135
PPD-187,Large Leaf Urn w/ Square Shell Ped                                   P-187 and PD-65,457
PPD-208,Sm Lion w/Garland Urn w/Pedestal                                  P-208 and PD-22,475
PPD-680,Beacon Hill Urn w/ Beacon Hill Pedestal                           P-680 and PD-211,335
P-643,Kent Urn,347
P-644,Wilton Urn,322
PPD-643,Kent Urn with Barnett Pedestal                                     P-643 and PD-198,557
PPD-644,Wilton Urn with Barnett Pedestal                                   P-644 and PD-198,532
P-332,Farnese Small Urn,197
P-340,Farnese Medium Urn,247
P-342,Parioli Urn,322
P-345,Lanciano Urn,322
P-348,Ravenna Urn,260
P-333,Monterey Planter,227
P-623,"Medici Planter, Small ",147
P-629,Rustic Palazzo Urn,147
P-365,Westport Planter,107
P-366,Litchfield Urn,172
P-483,Maywood Urn,297
PD-175,Glenview Pedestal (2pc),210
PPD-483,Maywood Urn with Pedestal           P-483 and PD-175,507
P-293A,Scroll Handle Large Planter,347
P-293B,Scroll Handle Medium Planter,227
P-294,Scroll Handle Tub Planter,227
P-652,Vallier Planter,247
P-489,Montgomery Urn,247
P-490,Augusta Urn,247
P-664,"Pascal Urn, Large",372
P-665,"Pascal Urn, Small",227
P-1535,Provencal Large Urn,347
P-326,St. Remy Urn,247
P-408,St. Remy Small Urn,197
P-419,Antibe Urn,322
2930,Lerida Bowl,460
2931,Large Pedestal,135
2932,Medi Riser,102
2953,Murcia Bowl w/leaves,202
P-132,English Weave Small Planter,67
P-133,English Weave Medium Planter,147
P-134,English Weave Large Planter,227
PD-156,Acanthus Riser,8
PD-157,Wide Classic Riser,20
PD-160,Low Profile Riser,8
PD-161,Narrow Classic Riser,20
PD-162,Narrow Profile Riser,8
PD-163,"Wedge Riser, Small ",8
PD-164,"Wedge Riser, Medium ",8
PD-165,"Wedge Riser, Large ",20
PD-56,"Leaf Riser, Small ",8
PD-57,"Leaf Riser, Large ",20
P-676,"Vendange Planter, Large",410
P-686,"Vendange Planter, Medium ",322
P-687,"Vendange Planter, Low ",322
P-695,"Vendange Planter, Tall",385
P-696,"Vendange Planter, Low Square ",247
P-700,Rustic Versaille Planter,335
P-704,Rustic Kettle Planter,297
P-577,Adirondack Planter,227
P-699,Split Log Planter,222
P-694,"Antique Celtic Planter, Large",227
P-697,Oval Wine Barrel Planter,410
P-426,Lucca Planter,172
P-427,Urbino Planter,435
P-407A,Giulia Large Planter,227
P-407B,Giulia Medium Planter,202
P-407C,Giulia Small Planter,92
P-411,Sarinac Planter,227
P-438,Mesa Large Planter,322
P-422A,Saguaro Large Planter,485
