1961,"5"" STONE - SWING ON A STAR    ",13
1962,HEART STONE - DOGS LEAVE THEIR,45
1963,"5"" STONE - GOLD STAR MOM      ",13
1964,"5"" STONE - GOD BLESS MY SAILOR",13
1965,"5"" STONE - GOD BLESS MY AIRMAN",13
1966,"5"" STONE - PEACE              ",13
1967,"5"" STONE -GOD BLESS MY SOLDIER",13
1968,"10"" STONE - A SHORT WALK WITH ",20
1969,"10"" STONE - DON'T LET THE WEED",20
1970,"10"" STONE - ALWAYS FACE THE   ",20
1971,"10"" STONE - KNEEL IN FAITH    ",20
1972,"10"" STONE - MY BELOVED PET    ",20
1973,HEART STONE - IF TEARS COULD  ,45
1974,"10"" STONE - MOM'S GARDEN      ",20
1975,HEART STONE - IF LOVE COULD   ,45
1976,HEART STONE - COME INTO MY GAR,45
1978,HEART STONE - LIVE WELL       ,45
1979,STEPPING STONE - BASSETT HOUND,40
1980,STEPPING STONE - BULL DOG     ,40
1981,STEPPING STONE -COCKER SPANIEL,40
1982,STEPPING STONE - PUG          ,40
1984,STEPPING STONE-GERMAN SHEPHERD,40
1985,STEPPING STONE - JACK RUSSELL ,40
1986,STEPPING STONE -GLDN RETRIEVER,40
1987,STEPPING STONE - HORSEHEAD    ,63
1988,HEART STONE - IT TAKES A LONG ,45
1989,"10"" STONE - BROUGHT TOGETHER  ",20
1990,"10"" STONE - WE HAVE FAITH IN  ",20
1991,STEPPING STONE - MUTT         ,40
1992,STEPPING STONE - BEAGLE       ,40
1993,STEPPING STONE - ROSE         ,63
1994,STEPPING STONE - WELCOME PINE ,63
1996,"10"" STONE - SPOILED ROTTEN DOG",20
1997,"8"" STONE - PRAY OFTEN         ",15
1998,"26"" LEAF SPLASH BLOCK         ",63
1999,"10"" STONE - IT'S A GREAT LIFE ",20
2012,BABY BIRD PERCHED             ,40
2013,BABY BIRD SITTING             ,40
2014,BABY BIRD WITH TAIL UP        ,40
2015,"43"" STANDING DEER             ",630
2016,"33"" SITTING HOUND             ",343
2018,"32"" RETRIEVER RT W/BASKET PLTR",405
2022,"12"" STANDING BUCK - PAGE 138  ",103
2023,"6"" LYING DOE - PAGE 138       ",63
2024,"6"" LYING DOE WITH FAWN - PG138",103
2026,"6.5"" GRAZING BUCK - PAGE 138  ",103
2028,PLAYFUL FROGS - PLUMBED       ,98
2029,"33"" STANDING DOE              ",315
2031,"22"" LAYDOWN DEER              ",258
2032,"21"" GRAZING DOE               ",315
2033,"23"" LAYDOWN DOE               ",233
2034,"13"" LAYDOWN FAWN (HEAD UP)    ",135
2036,"13"" LAYDOWN FAWN (HEAD DOWN)  ",135
2037,"20"" STANDING FAWN             ",148
2065,"27"" STANDING DEER             ",195
2075,"32"" STANDING DEER             ",335
2076,"33"" EAGLE                     ",470
2080,"36"" COW                       ",750
2085,SETTING RABBIT                ,53
2090,BUNNY RABBIT                  ,50
2095,HAPPY RABBIT                  ,45
2100,SMALL SITTING UP RABBIT       ,58
2110,RABBIT ON ROCK                ,65
2115,SMALL LAYDOWN RABBIT          ,53
2120,SITTING UP RABBIT             ,65
2125,LARGE SITTING RABBIT          ,95
2131,"36"" SITTING WOLF              ",493
2132,"18"" POODLE                    ",143
2133,"15"" PUG                       ",173
2134,"21"" ENGLISH BULLDOG           ",313
2135,"30"" SITTING WHIPPET           ",213
2136,"30"" ROTTWEILER                ",523
2137,"31"" LABRADOR RETRIEVER        ",445
2138,"29"" GOLDEN RETRIEVER          ",445
2139,"10"" SITTING RABBIT            ",58
2140,"29"" HERON                     ",185
2141,LOP RABBIT                    ,85
2142,BABY RABBIT                   ,38
2143,STANDING LOP RABBIT           ,85
2144,WELCOME PIGS                  ,128
2145,"48"" HERON                     ",515
2146,BRACHIOSAURUS                 ,173
2147,THREE WELCOME PUPPIES         ,128
2148,TYRANNOSAURUS REX             ,173
2149,WELCOME FRIENDS FELIX         ,58
2150,EXTRA LARGE SQUIRREL          ,80
2151,LIFE IS GOOD LOUIE            ,58
2152,WELCOME WILLY                 ,58
2153,PLAYMATES                     ,58
2154,ROSEY                         ,55
2156,ROCKY                         ,55
2157,RICO                          ,55
2158,RUDY                          ,55
2159,WELCOME FRIENDS - BEAGLE      ,58
2160,SPANKY - SPANIEL              ,58
2161,SPIRIT - WESTIE               ,58
2162,LIFE IS GOOD - BASSET         ,58
2163,SHOOP - LAB                   ,58
2164,PENNY                         ,58
2165,WELCOME - PERCY               ,58
2166,PICKLES                       ,58
2167,PEACHES                       ,58
2168,WELCOME KITTENS               ,128
2169,LIFE IS GOOD - RABBIT         ,58
2170,COTTON                        ,58
2171,CAPERS                        ,58
2172,TAPPS                         ,58
2173,DOUBLE TROUBLE - RABBITS      ,58
2174,PUNKY - WELCOME               ,58
2175,SWEET SUE                     ,58
2176,"4"" SINGING BIRD HEAD UP       ",40
2177,"2"" SINGING BIRD HEAD DOWN     ",40
2178,"4"" SINGING BIRD WINGS OUT     ",40
2179,MEDIUM CROW                   ,70
2180,"13"" PUPPY - BOXER             ",58
2181,"11"" PUPPY - PUG               ",58
2182,"11"" PUPPY - BASSET HOUND      ",58
2183,"13"" PUPPY - BEAGLE            ",58
2184,"12"" PUPPY - CHIHUAHUA         ",58
2185,"13"" PUPPY - LABRADOR RETRIEVER",58
2186,"14"" PUPPY - GERMAN SHEPHERD   ",58
2187,"13"" PUPPY - COCKER SPANIEL    ",58
2200,BASSET HOUND                  ,163
2201,BASSET HOUND PUP              ,88
2203,"23"" SPANIEL W/BASKET PLANTER  ",295
2204,"32"" RETRIEVER LF W/BASKET PLTR",405
2225,LARGE FROG - PLUMBED          ,88
2231,AQUATIC FROG - PLUMBED        ,58
2245,FROG ON LEAVES - PLUMBED      ,58
2250,SPITTING FROG - PLUMBED       ,85
2275,RECLINING FROG                ,60
2290,FROGS AND MUSHROOMS - PLUMBED ,93
2295,"12"" SITTING FROG              ",50
2310,SINGLE FROG SEAT              ,83
2315,DOUBLE FROG LOVE SEAT         ,138
2316,MEDIUM ALLIGATOR - PLUMBED    ,103
